Date,Close/Last,Volume,Open,High,Low
08/23/2024,$4.81,18315,$4.88,$4.93,$4.76
08/22/2024,$4.87,24257,$5.00,$5.02,$4.83
08/21/2024,$4.96,20453,$5.05,$5.0762,$4.84
08/20/2024,$5.03,29113,$4.85,$5.04,$4.85
08/19/2024,$4.84,60248,$4.73,$4.8496,$4.7006
08/16/2024,$4.66,103094,$4.85,$4.85,$4.646
08/15/2024,$4.78,45362,$4.95,$4.95,$4.74
08/14/2024,$4.92,52919,$5.10,$5.20,$4.87
08/13/2024,$5.14,23332,$5.19,$5.25,$5.01
08/12/2024,$5.21,29720,$4.97,$5.24,$4.959
08/09/2024,$4.99,17886,$5.00,$5.08,$4.91
08/08/2024,$5.04,58121,$4.70,$5.15,$4.6883
08/07/2024,$4.63,20729,$4.72,$4.7312,$4.61
08/06/2024,$4.73,45966,$4.60,$4.85,$4.50
08/05/2024,$4.60,69620,$4.71,$4.74,$4.46
08/02/2024,$4.92,68858,$5.13,$5.1754,$4.86
08/01/2024,$5.29,62596,$5.35,$5.49,$5.10
07/31/2024,$5.40,103495,$5.00,$5.40,$4.98
07/30/2024,$5.035,48657,$4.92,$5.04,$4.8501
07/29/2024,$4.90,37787,$4.90,$4.99,$4.81
07/26/2024,$4.80,26102,$4.75,$4.8496,$4.68
07/25/2024,$4.76,18932,$4.86,$4.86,$4.65
07/24/2024,$4.76,22625,$4.98,$4.98,$4.74
07/23/2024,$4.895,39287,$4.95,$4.95,$4.76
07/22/2024,$4.96,65161,$4.50,$4.96,$4.4501
07/19/2024,$4.50,49179,$4.48,$4.56,$4.46
07/18/2024,$4.55,23989,$4.65,$4.7613,$4.52
07/17/2024,$4.70,34004,$4.81,$4.81,$4.59
07/16/2024,$4.75,84126,$4.50,$4.78,$4.48
07/15/2024,$4.50,51172,$4.52,$4.56,$4.46
07/12/2024,$4.49,50110,$4.50,$4.5299,$4.4401
07/11/2024,$4.53,29087,$4.55,$4.62,$4.4798
07/10/2024,$4.50,41978,$4.46,$4.6197,$4.46
07/09/2024,$4.54,28197,$4.42,$4.5813,$4.42
07/08/2024,$4.42,57821,$4.52,$4.57,$4.40
07/05/2024,$4.52,63875,$4.77,$4.77,$4.48
07/03/2024,$4.82,33287,$4.60,$4.8999,$4.57
07/02/2024,$4.56,53340,$4.66,$4.66,$4.5201
07/01/2024,$4.64,40194,$4.63,$4.7094,$4.5821
06/28/2024,$4.60,49222,$4.69,$4.9836,$4.60
06/27/2024,$4.76,49339,$4.95,$4.95,$4.72
06/26/2024,$4.8808,36632,$4.89,$4.968,$4.8327
06/25/2024,$4.87,68315,$4.81,$5.25,$4.81
06/24/2024,$4.87,65801,$4.83,$4.9899,$4.775
06/21/2024,$4.83,66226,$4.90,$4.96,$4.80
06/20/2024,$4.85,76181,$4.71,$4.85,$4.65
06/18/2024,$4.65,62063,$4.72,$4.876,$4.61
06/17/2024,$4.70,197464,$4.30,$4.72,$4.29
06/14/2024,$4.07,40811,$4.25,$4.25,$4.02
06/13/2024,$4.2501,43647,$4.39,$4.42,$4.24
06/12/2024,$4.44,44145,$4.49,$4.52,$4.30
06/11/2024,$4.52,23656,$4.53,$4.565,$4.52
06/10/2024,$4.61,33878,$4.50,$4.79,$4.47
06/07/2024,$4.59,52452,$4.72,$4.75,$4.535
06/06/2024,$4.80,41795,$4.73,$4.8304,$4.61
06/05/2024,$4.75,73482,$4.60,$4.8638,$4.60
06/04/2024,$4.55,41017,$4.57,$4.59,$4.51
06/03/2024,$4.57,60385,$4.51,$4.80,$4.51
05/31/2024,$4.65,91084,$4.65,$4.70,$4.42
05/30/2024,$4.68,80663,$4.33,$4.69,$4.26
05/29/2024,$4.33,66449,$4.43,$4.56,$4.25
05/28/2024,$4.65,217023,$3.88,$4.68,$3.83
05/24/2024,$3.935,54470,$3.80,$4.06,$3.75
05/23/2024,$3.81,33415,$3.98,$3.98,$3.80
05/22/2024,$3.92,47338,$3.92,$4.00,$3.88
05/21/2024,$4.03,82051,$3.91,$4.11,$3.8001
05/20/2024,$3.93,67677,$3.95,$4.0897,$3.8405
05/17/2024,$3.95,113747,$4.01,$4.22,$3.75
05/16/2024,$4.09,422057,$3.65,$4.325,$3.55
05/15/2024,$3.55,72213,$3.73,$3.76,$3.54
05/14/2024,$3.72,74981,$3.86,$3.96,$3.70
05/13/2024,$3.85,95842,$3.56,$3.95,$3.56
05/10/2024,$3.60,26999,$3.54,$3.60,$3.52
05/09/2024,$3.52,37686,$3.61,$3.61,$3.37
05/08/2024,$3.61,81355,$3.55,$3.6999,$3.55
05/07/2024,$3.48,132047,$3.20,$3.63,$3.20
05/06/2024,$3.21,13761,$3.15,$3.24,$3.15
05/03/2024,$3.16,72487,$3.13,$3.25,$3.12
05/02/2024,$3.11,80718,$3.04,$3.18,$3.04
05/01/2024,$3.035,54748,$3.13,$3.18,$3.035
04/30/2024,$3.13,28645,$3.25,$3.31,$3.13
04/29/2024,$3.24,33524,$3.25,$3.29,$3.19
04/26/2024,$3.23,43180,$3.28,$3.30,$3.215
04/25/2024,$3.23,28808,$3.21,$3.2709,$3.16
04/24/2024,$3.26,103250,$3.25,$3.3835,$3.12
04/23/2024,$3.28,60082,$3.30,$3.37,$3.25
04/22/2024,$3.30,148350,$3.36,$3.605,$3.03
