Date,Close/Last,Volume,Open,High,Low
08/23/2024,$6.55,1480400,$6.48,$6.55,$6.46
08/22/2024,$6.44,1652438,$6.50,$6.50,$6.43
08/21/2024,$6.40,1080934,$6.34,$6.41,$6.33
08/20/2024,$6.36,1950535,$6.45,$6.46,$6.34
08/19/2024,$6.43,1894614,$6.42,$6.47,$6.40
08/16/2024,$6.42,1425903,$6.41,$6.42,$6.38
08/15/2024,$6.40,3936894,$6.38,$6.4175,$6.35
08/14/2024,$6.37,2223346,$6.36,$6.37,$6.31
08/13/2024,$6.30,2330720,$6.20,$6.30,$6.18
08/12/2024,$6.17,1246769,$6.16,$6.19,$6.13
08/09/2024,$6.16,1663617,$6.12,$6.18,$6.10
08/08/2024,$6.03,2531144,$6.03,$6.06,$5.97
08/07/2024,$5.99,2859372,$6.08,$6.095,$5.95
08/06/2024,$5.95,4684905,$5.80,$5.99,$5.75
08/05/2024,$5.6225,3667610,$5.51,$5.70,$5.49
08/02/2024,$5.96,2661932,$5.75,$5.97,$5.71
08/01/2024,$6.07,6910560,$6.33,$6.39,$6.02
07/31/2024,$5.77,4608870,$5.69,$5.78,$5.66
07/30/2024,$5.70,2893270,$5.69,$5.74,$5.65
07/29/2024,$5.62,1820528,$5.66,$5.68,$5.58
07/26/2024,$5.66,2002844,$5.60,$5.68,$5.58
07/25/2024,$5.50,3449096,$5.50,$5.55,$5.40
07/24/2024,$5.64,3248197,$5.72,$5.759,$5.63
07/23/2024,$5.86,5695101,$5.72,$5.96,$5.70
07/22/2024,$5.68,1951415,$5.73,$5.75,$5.66
07/19/2024,$5.72,1265273,$5.65,$5.74,$5.64
07/18/2024,$5.57,2203186,$5.80,$5.82,$5.54
07/17/2024,$5.78,2229039,$5.92,$5.94,$5.76
07/16/2024,$5.92,1759399,$5.86,$5.94,$5.834
07/15/2024,$5.76,1989180,$5.81,$5.83,$5.75
07/12/2024,$5.75,1657641,$5.78,$5.82,$5.75
07/11/2024,$5.80,1664938,$5.80,$5.83,$5.79
07/10/2024,$5.80,1806118,$5.77,$5.82,$5.74
07/09/2024,$5.68,2436444,$5.77,$5.78,$5.64
07/08/2024,$5.87,2544811,$5.91,$5.92,$5.84
07/05/2024,$5.77,3023149,$5.86,$5.87,$5.75
07/03/2024,$5.78,1471631,$5.74,$5.79,$5.73
07/02/2024,$5.62,3377354,$5.65,$5.65,$5.58
07/01/2024,$5.67,1783410,$5.73,$5.76,$5.66
06/28/2024,$5.73,2059959,$5.77,$5.80,$5.70
06/27/2024,$5.69,2198851,$5.78,$5.80,$5.65
06/26/2024,$5.77,2231725,$5.84,$5.87,$5.76
06/25/2024,$5.84,2826283,$5.69,$5.87,$5.675
06/24/2024,$5.78,3763929,$6.00,$6.00,$5.78
06/21/2024,$5.93,1898709,$5.99,$5.99,$5.90
06/20/2024,$6.07,3777415,$6.07,$6.11,$6.04
06/18/2024,$5.93,4102051,$5.89,$5.93,$5.85
06/17/2024,$5.84,3732938,$5.79,$5.88,$5.745
06/14/2024,$5.75,3372732,$5.76,$5.78,$5.71
06/13/2024,$5.94,2830976,$5.97,$5.97,$5.89
06/12/2024,$5.94,4074874,$5.95,$5.996,$5.94
06/11/2024,$5.87,2028445,$5.88,$5.8979,$5.80
06/10/2024,$5.88,5517952,$5.83,$5.89,$5.78
06/07/2024,$5.74,2958922,$5.75,$5.81,$5.73
06/06/2024,$5.82,2506999,$5.84,$5.87,$5.80
06/05/2024,$5.77,3216248,$5.82,$5.82,$5.74
06/04/2024,$5.72,3367247,$5.77,$5.79,$5.68
06/03/2024,$5.84,5072834,$5.83,$5.86,$5.81
05/31/2024,$5.74,3503384,$5.77,$5.78,$5.70
05/30/2024,$5.68,4046663,$5.67,$5.72,$5.66
05/29/2024,$5.64,3470279,$5.64,$5.68,$5.61
05/28/2024,$5.71,3482086,$5.72,$5.74,$5.64
05/24/2024,$5.63,2473353,$5.55,$5.64,$5.54
05/23/2024,$5.51,4189060,$5.58,$5.59,$5.50
05/22/2024,$5.38,4300668,$5.52,$5.53,$5.3601
05/21/2024,$5.47,1783135,$5.46,$5.49,$5.44
05/20/2024,$5.49,5212181,$5.43,$5.52,$5.42
05/17/2024,$5.2757,2131906,$5.26,$5.30,$5.24
05/16/2024,$5.27,2574742,$5.30,$5.31,$5.27
05/15/2024,$5.38,2830748,$5.36,$5.39,$5.32
05/14/2024,$5.26,2349527,$5.24,$5.28,$5.23
05/13/2024,$5.22,2455097,$5.23,$5.26,$5.22
05/10/2024,$5.28,3759482,$5.35,$5.37,$5.23
05/09/2024,$5.37,4665446,$5.35,$5.40,$5.33
05/08/2024,$5.295,4849769,$5.21,$5.33,$5.20
05/07/2024,$5.22,2445929,$5.25,$5.25,$5.18
05/06/2024,$5.25,1756375,$5.30,$5.37,$5.23
05/03/2024,$5.20,3532751,$5.19,$5.20,$5.15
05/02/2024,$5.055,2497622,$5.04,$5.07,$4.99
05/01/2024,$5.06,2970754,$5.12,$5.136,$5.03
04/30/2024,$5.10,2359345,$5.14,$5.18,$5.10
04/29/2024,$5.15,2263033,$5.14,$5.18,$5.11
04/26/2024,$5.24,4097420,$5.16,$5.24,$5.15
04/25/2024,$5.00,2774171,$4.97,$5.045,$4.95
04/24/2024,$5.14,2732810,$5.19,$5.21,$5.11
04/23/2024,$5.17,3581421,$5.05,$5.17,$5.03
04/22/2024,$4.97,3389611,$4.93,$4.99,$4.93
04/19/2024,$4.84,3443055,$4.90,$4.92,$4.83
04/18/2024,$4.95,4312985,$4.95,$5.02,$4.92
04/17/2024,$4.97,2827956,$5.01,$5.02,$4.94
04/16/2024,$4.92,2965947,$4.93,$4.95,$4.89
04/15/2024,$4.99,3544613,$5.10,$5.12,$4.95
04/12/2024,$4.95,3110780,$5.01,$5.07,$4.94
04/11/2024,$5.094,5997313,$5.02,$5.10,$4.95
04/10/2024,$5.116,4058489,$5.07,$5.155,$5.06
04/09/2024,$5.25,3493414,$5.21,$5.26,$5.19
04/08/2024,$5.43,8131130,$5.42,$5.46,$5.41
04/05/2024,$5.30,2729576,$5.28,$5.33,$5.27
04/04/2024,$5.23,10038200,$5.33,$5.34,$5.18
04/03/2024,$5.37,13662620,$5.28,$5.43,$5.28
04/02/2024,$5.29,5577897,$5.20,$5.32,$5.175
04/01/2024,$5.41,2032778,$5.40,$5.43,$5.37
03/28/2024,$5.38,2290641,$5.39,$5.42,$5.37
03/27/2024,$5.33,2746090,$5.38,$5.382,$5.29
03/26/2024,$5.38,2695680,$5.35,$5.43,$5.32
03/25/2024,$5.29,1857474,$5.28,$5.32,$5.26
03/22/2024,$5.28,1992129,$5.25,$5.32,$5.24
03/21/2024,$5.28,3249137,$5.31,$5.32,$5.28
03/20/2024,$5.19,2642792,$5.09,$5.22,$5.09
03/19/2024,$5.03,2655694,$5.00,$5.05,$4.985
03/18/2024,$4.91,2185395,$4.97,$4.97,$4.91
03/15/2024,$4.97,2102818,$4.95,$5.02,$4.93
03/14/2024,$4.92,7379798,$4.97,$5.03,$4.90
03/13/2024,$5.01,2466945,$4.98,$5.04,$4.969
03/12/2024,$4.98,2015233,$4.92,$4.99,$4.89
03/11/2024,$4.87,2686827,$4.88,$4.91,$4.86
03/08/2024,$4.91,2530546,$4.94,$4.97,$4.91
03/07/2024,$4.969,6283415,$4.89,$5.00,$4.87
03/06/2024,$4.77,2901637,$4.76,$4.81,$4.75
03/05/2024,$4.69,2779416,$4.72,$4.74,$4.68
03/04/2024,$4.71,2843354,$4.72,$4.74,$4.71
03/01/2024,$4.72,3414904,$4.68,$4.72,$4.66
02/29/2024,$4.64,4712544,$4.64,$4.67,$4.61
02/28/2024,$4.62,8426121,$4.60,$4.68,$4.585
02/27/2024,$4.515,5262332,$4.51,$4.53,$4.49
02/26/2024,$4.54,4055777,$4.53,$4.58,$4.53
02/23/2024,$4.44,6345000,$4.49,$4.51,$4.43
02/22/2024,$4.47,5442575,$4.59,$4.61,$4.4275
02/21/2024,$4.15,2722380,$4.12,$4.17,$4.12
02/20/2024,$4.16,2829788,$4.20,$4.20,$4.14
02/16/2024,$4.07,3604609,$3.99,$4.08,$3.99
02/15/2024,$4.06,2640678,$4.01,$4.06,$4.00
02/14/2024,$3.94,2597408,$3.93,$3.95,$3.894
02/13/2024,$3.84,4271977,$3.82,$3.87,$3.80
02/12/2024,$3.9125,3234134,$3.90,$3.93,$3.89
02/09/2024,$4.02,2695056,$4.05,$4.06,$4.02
02/08/2024,$4.04,5679658,$4.04,$4.06,$3.99
02/07/2024,$4.12,33403360,$4.01,$4.12,$4.01
02/06/2024,$4.00,9488916,$3.97,$4.00,$3.94
02/05/2024,$3.84,2877503,$3.86,$3.88,$3.83
02/02/2024,$3.87,1777692,$3.79,$3.89,$3.78
02/01/2024,$3.79,1948907,$3.78,$3.8152,$3.74
01/31/2024,$3.77,2103905,$3.83,$3.8487,$3.75
01/30/2024,$3.87,2114693,$3.87,$3.89,$3.84
01/29/2024,$3.85,1973045,$3.79,$3.85,$3.79
01/26/2024,$3.86,1689442,$3.84,$3.87,$3.83
01/25/2024,$3.85,1943238,$3.87,$3.89,$3.84
01/24/2024,$3.85,1276169,$3.90,$3.91,$3.85
01/23/2024,$3.82,1934928,$3.80,$3.82,$3.76
01/22/2024,$3.90,1384246,$3.88,$3.90,$3.85
01/19/2024,$3.85,2005167,$3.82,$3.87,$3.80
01/18/2024,$3.855,1985852,$3.82,$3.87,$3.81
01/17/2024,$3.73,3194601,$3.72,$3.73,$3.69
01/16/2024,$3.69,2384627,$3.75,$3.765,$3.69
01/12/2024,$3.85,1685524,$3.88,$3.89,$3.85
01/11/2024,$3.76,2150612,$3.85,$3.85,$3.75
01/10/2024,$3.89,1693768,$3.88,$3.90,$3.86
01/09/2024,$3.89,1688359,$3.87,$3.90,$3.86
01/08/2024,$3.8425,1419734,$3.83,$3.86,$3.83
01/05/2024,$3.72,2104016,$3.70,$3.75,$3.68
01/04/2024,$3.7325,1576959,$3.70,$3.7633,$3.70
01/03/2024,$3.68,2746647,$3.70,$3.70,$3.68
01/02/2024,$3.70,4482484,$3.77,$3.77,$3.70
12/29/2023,$3.78,1736389,$3.79,$3.90,$3.70
12/28/2023,$3.79,2627196,$3.80,$3.82,$3.77
12/27/2023,$3.81,2127957,$3.80,$3.82,$3.79
12/26/2023,$3.86,1248296,$3.81,$3.90,$3.81
12/22/2023,$3.81,1282096,$3.80,$3.97,$3.80
12/21/2023,$3.7843,1756830,$3.77,$3.79,$3.75
12/20/2023,$3.72,2829295,$3.71,$3.79,$3.70
12/19/2023,$3.76,2354250,$3.75,$3.77,$3.73
12/18/2023,$3.71,2190796,$3.70,$3.72,$3.68
12/15/2023,$3.64,3561233,$3.71,$3.72,$3.64
12/14/2023,$3.83,5190165,$3.88,$3.92,$3.82
12/13/2023,$3.85,5318699,$3.78,$3.85,$3.7469
12/12/2023,$3.84,4031726,$3.76,$3.85,$3.75
12/11/2023,$3.72,5391954,$3.72,$3.75,$3.70
12/08/2023,$3.63,1753876,$3.63,$3.66,$3.62
